id_partida,data_jogo,campeonato,home_team,away_team,period,group,name,home_value,away_value,home_total,away_total,compare_code,key,resultado
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,ALL,Defending,Clearances,18.0,14.0,,,1,totalClearance,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,ALL,Goalkeeping,Total saves,2.0,5.0,,,2,goalkeeperSaves,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,ALL,Goalkeeping,Goals prevented,-0.1379,-0.1189,,,2,goalsPrevented,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,ALL,Goalkeeping,High claims,2.0,1.0,,,1,highClaims,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,ALL,Goalkeeping,Goal kicks,7.0,8.0,,,2,goalKicks,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Match overview,Ball possession,50.0,50.0,,,3,ballPossession,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Match overview,Expected goals,1.15,0.29,,,1,expectedGoals,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Match overview,Big chances,2.0,0.0,,,1,bigChanceCreated,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Match overview,Total shots,7.0,4.0,,,1,totalShotsOnGoal,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Match overview,Goalkeeper saves,0.0,1.0,,,2,goalkeeperSaves,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Match overview,Corner kicks,3.0,2.0,,,1,cornerKicks,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Match overview,Passes,172.0,172.0,,,3,passes,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Match overview,Tackles,7.0,6.0,,,1,totalTackle,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Match overview,Free kicks,10.0,7.0,,,1,freeKicks,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Match overview,Yellow cards,1.0,3.0,,,2,yellowCards,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Match overview,Red cards,0.0,1.0,,,2,redCards,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Shots,Total shots,7.0,4.0,,,1,totalShotsOnGoal,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Shots,Shots on target,2.0,0.0,,,1,shotsOnGoal,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Shots,Hit woodwork,0.0,0.0,,,3,hitWoodwork,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Shots,Shots off target,2.0,2.0,,,3,shotsOffGoal,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Shots,Blocked shots,3.0,2.0,,,1,blockedScoringAttempt,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Shots,Shots inside box,6.0,2.0,,,1,totalShotsInsideBox,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Shots,Shots outside box,1.0,2.0,,,2,totalShotsOutsideBox,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Attack,Big chances scored,1.0,0.0,,,1,bigChanceScored,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Attack,Big chances missed,1.0,0.0,,,1,bigChanceMissed,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Attack,Fouled in final third,2.0,1.0,,,1,fouledFinalThird,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Attack,Offsides,0.0,1.0,,,2,offsides,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Passes,Accurate passes,144.0,147.0,,,2,accuratePasses,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Passes,Throw-ins,6.0,8.0,,,2,throwIns,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Passes,Final third entries,22.0,29.0,,,2,finalThirdEntries,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Passes,Long balls,23.0,12.0,35.0,22.0,1,accurateLongBalls,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Passes,Crosses,2.0,0.0,8.0,9.0,1,accurateCross,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Duels,Duels,50.0,50.0,,,3,duelWonPercent,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Duels,Dispossessed,3.0,4.0,,,2,dispossessed,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Duels,Ground duels,20.0,18.0,38.0,38.0,1,groundDuelsPercentage,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Duels,Aerial duels,9.0,11.0,20.0,20.0,2,aerialDuelsPercentage,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Duels,Dribbles,3.0,5.0,6.0,8.0,2,dribblesPercentage,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Defending,Tackles won,6.0,3.0,7.0,6.0,1,wonTacklePercent,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Defending,Total tackles,7.0,6.0,,,1,totalTackle,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Defending,Interceptions,3.0,2.0,,,1,interceptionWon,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Defending,Recoveries,22.0,24.0,,,2,ballRecovery,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Defending,Clearances,10.0,10.0,,,3,totalClearance,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Goalkeeping,Total saves,0.0,1.0,,,2,goalkeeperSaves,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,1ST,Goalkeeping,Goal kicks,4.0,2.0,,,1,goalKicks,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Match overview,Ball possession,56.0,44.0,,,1,ballPossession,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Match overview,Expected goals,1.82,0.56,,,1,expectedGoals,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Match overview,Big chances,3.0,0.0,,,1,bigChanceCreated,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Match overview,Total shots,12.0,7.0,,,1,totalShotsOnGoal,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Match overview,Goalkeeper saves,2.0,4.0,,,2,goalkeeperSaves,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Match overview,Corner kicks,4.0,0.0,,,1,cornerKicks,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Match overview,Passes,207.0,167.0,,,1,passes,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Match overview,Tackles,8.0,4.0,,,1,totalTackle,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Match overview,Free kicks,7.0,11.0,,,2,freeKicks,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Match overview,Yellow cards,5.0,3.0,,,1,yellowCards,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Match overview,Red cards,0.0,1.0,,,2,redCards,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Shots,Total shots,12.0,7.0,,,1,totalShotsOnGoal,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Shots,Shots on target,6.0,3.0,,,1,shotsOnGoal,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Shots,Hit woodwork,0.0,0.0,,,3,hitWoodwork,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Shots,Shots off target,4.0,3.0,,,1,shotsOffGoal,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Shots,Blocked shots,2.0,1.0,,,1,blockedScoringAttempt,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Shots,Shots inside box,7.0,4.0,,,1,totalShotsInsideBox,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Shots,Shots outside box,5.0,3.0,,,1,totalShotsOutsideBox,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Attack,Big chances scored,1.0,0.0,,,1,bigChanceScored,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Attack,Big chances missed,2.0,0.0,,,1,bigChanceMissed,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Attack,Fouled in final third,2.0,4.0,,,2,fouledFinalThird,
12117250,2024-09-29,Brasileirão Série A,São Paulo,Corinthians,2ND,Attack,Offsides,2.0,1.0,,,1,offsides,
