detailedStatsLink,competitionDescription,logo,nameSeason,possibleGames,gamesPlayed,goalsScored,assists,yellowCards,secondYellowCards,redCards,startElevenPercent,minutesPlayedPercent,goalsContributedPercent,goalkeeper,concededGoals,cleanSheets,blockedPenaltyPercent,minutesPlayed,player_id,player_name,player_number
/emanuel-aguilera/leistungsdatendetails/spieler/123015/wettbewerb/CDCA/saison/2023,Copa de la Liga - Playoffs,https://tmssl.akamaized.net//images/logo/normal/cdca.png?lm=1647533050,2024,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88888888888889,0.0,False,0.0,0.0,0.0,8.0,123015,Emanuel Aguilera,28
/emanuel-aguilera/leistungsdatendetails/spieler/123015/wettbewerb/CDLP/saison/2023,Copa de la Liga,https://tmssl.akamaized.net//images/logo/normal/cdlp.png?lm=1647591044,2024,14.0,10.0,0.0,0.0,3.0,0.0,0.0,71.42857142857143,71.42857142857143,0.0,False,0.0,0.0,0.0,900.0,123015,Emanuel Aguilera,28
/emanuel-aguilera/leistungsdatendetails/spieler/123015/wettbewerb/CS/saison/2023,Copa Sudamericana,https://tmssl.akamaized.net//images/logo/normal/cs.png?lm=1512644426,2024,6.0,2.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0,False,0.0,0.0,0.0,180.0,123015,Emanuel Aguilera,28
/samuel-lucero/leistungsdatendetails/spieler/1068089/wettbewerb/AR1N/saison/2023,Liga Profesional,https://tmssl.akamaized.net//images/logo/normal/ar1n.png?lm=1612869286,2024,17.0,2.0,0.0,0.0,0.0,0.0,0.0,5.88235294117647,9.084967320261438,0.0,False,0.0,0.0,0.0,139.0,1068089,Samuel Lucero,13
/samuel-lucero/leistungsdatendetails/spieler/1068089/wettbewerb/CLPF/saison/2023,Copa Proyección Final,https://tmssl.akamaized.net//images/logo/normal/clpf.png?lm=1727094496,2024,2.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,False,0.0,0.0,0.0,180.0,1068089,Samuel Lucero,13
/samuel-lucero/leistungsdatendetails/spieler/1068089/wettbewerb/ARCA/saison/2023,Copa Argentina,https://tmssl.akamaized.net//images/logo/normal/arca.png?lm=1641845291,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1068089,Samuel Lucero,13
/samuel-lucero/leistungsdatendetails/spieler/1068089/wettbewerb/CDCA/saison/2023,Copa de la Liga - Playoffs,https://tmssl.akamaized.net//images/logo/normal/cdca.png?lm=1647533050,2024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,1068089,Samuel Lucero,13
/samuel-lucero/leistungsdatendetails/spieler/1068089/wettbewerb/CDLP/saison/2023,Copa de la Liga,https://tmssl.akamaized.net//images/logo/normal/cdlp.png?lm=1647591044,2024,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.984126984126984,0.0,False,0.0,0.0,0.0,25.0,1068089,Samuel Lucero,13
/samuel-lucero/leistungsdatendetails/spieler/1068089/wettbewerb/CS/saison/2023,Copa Sudamericana,https://tmssl.akamaized.net//images/logo/normal/cs.png?lm=1512644426,2024,6.0,1.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,False,0.0,0.0,0.0,90.0,1068089,Samuel Lucero,13
/samuel-lucero/leistungsdatendetails/spieler/1068089/wettbewerb/CLPI/saison/2023,Copa Proyección Inicial,https://tmssl.akamaized.net//images/logo/normal/clpi.png?lm=1727214499,2024,1.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,False,0.0,0.0,0.0,90.0,1068089,Samuel Lucero,13
/tiago-ferreyra/leistungsdatendetails/spieler/1002334/wettbewerb/AR1N/saison/2023,Liga Profesional,https://tmssl.akamaized.net//images/logo/normal/ar1n.png?lm=1612869286,2024,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24691358024691357,0.0,False,0.0,0.0,0.0,2.0,1002334,Tiago Ferreyra,4
/tiago-ferreyra/leistungsdatendetails/spieler/1002334/wettbewerb/ARG2/saison/2023,Primera Nacional,https://tmssl.akamaized.net//images/logo/normal/arg2.png?lm=1606232114,2024,25.0,22.0,0.0,0.0,4.0,1.0,0.0,80.0,78.4,0.0,False,0.0,0.0,0.0,1764.0,1002334,Tiago Ferreyra,4
/tiago-ferreyra/leistungsdatendetails/spieler/1002334/wettbewerb/ARCA/saison/2023,Copa Argentina,https://tmssl.akamaized.net//images/logo/normal/arca.png?lm=1641845291,2024,2.0,2.0,0.0,0.0,1.0,0.0,0.0,100.0,100.0,0.0,False,0.0,0.0,0.0,180.0,1002334,Tiago Ferreyra,4
/alexis-soto/leistungsdatendetails/spieler/409272/wettbewerb/AR1N/saison/2023,Liga Profesional,https://tmssl.akamaized.net//images/logo/normal/ar1n.png?lm=1612869286,2024,17.0,13.0,0.0,1.0,6.0,0.0,1.0,47.05882352941176,50.65359477124183,8.333333333333332,False,0.0,0.0,0.0,775.0,409272,Alexis Soto,3
